2025-12-26 10:16:48.849 [main] INFO  c.w.s.SchoolBackgroundServiceSystemApplication - Starting SchoolBackgroundServiceSystemApplication using Java 21.0.2 on 梦中情姬 with PID 25732 (D:\project\JavaWeb\SpringBoot\School_background_service_system\target\classes started by lin_tanoxi in D:\project\JavaWeb\SpringBoot\School_background_service_system)
2025-12-26 10:16:48.854 [main] INFO  c.w.s.SchoolBackgroundServiceSystemApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-26 10:16:49.693 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-26 10:16:49.701 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-12-26 10:16:49.702 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-26 10:16:49.702 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2025-12-26 10:16:49.788 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-26 10:16:49.788 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 899 ms
2025-12-26 10:16:50.071 [main] INFO  c.w.s.config.OssConfiguration - 开始创建阿里云文件上传工具类对象：AliOssProperties(endpoint=oss-cn-beijing.aliyuncs.com, accessKeyId=LTAI5tEUyi76UvK181VRECDu, accessKeySecret=nF60yJIplDFqNmtdRxgnyX6R773tC2, bucketName=shcoolsystem)
2025-12-26 10:16:50.195 [main] INFO  c.w.s.config.WebMvcConfig - 开始进行拦截器配置
2025-12-26 10:16:50.403 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-12-26 10:16:50.420 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-26 10:16:50.426 [main] INFO  c.w.s.SchoolBackgroundServiceSystemApplication - Started SchoolBackgroundServiceSystemApplication in 1.86 seconds (JVM running for 2.449)
2025-12-26 10:16:55.497 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-26 10:16:55.497 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-26 10:16:55.498 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-26 10:16:55.768 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.768 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.769 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.769 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.768 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.769 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验:eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTQsImV4cCI6MTgzODY1NDE5M30.va5OJ3b0EefprRMlsbn9_lLjTJGhJcQObUIMiGUOEHI
2025-12-26 10:16:55.849 [http-nio-8081-exec-7] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838654193}
2025-12-26 10:16:55.849 [http-nio-8081-exec-6] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838654193}
2025-12-26 10:16:55.850 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - jwt校验成功:{id=14, exp=1838654193}
2025-12-26 10:16:55.885 [http-nio-8081-exec-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-26 10:16:56.039 [http-nio-8081-exec-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-26 10:16:56.079 [http-nio-8081-exec-7] INFO  c.w.s.service.Impl.NotificationServiceImpl - 获得用户权限,0
2025-12-26 10:16:56.079 [http-nio-8081-exec-5] INFO  c.w.s.service.Impl.UserServiceImpl - 用户信息：User(userId=14, username=lzjlzj, password=123456, nickname=林同学很帅气, avatarUrl=https://shcoolsystem.oss-cn-beijing.aliyuncs.com/20123b68-2b40-4703-bdae-34cdbe24d3ce.webp, permission=0, registeredTime=2025-12-25T10:28:43, updatedTime=2025-12-25T10:34:37, studentNumber=202212060116)
2025-12-26 10:16:56.082 [http-nio-8081-exec-6] INFO  c.w.s.service.Impl.UserServiceImpl - 反馈单,[ApplicationForm(id=34, title=意见反馈, content=部分专业课程内容更新滞后，未能及时反映行业最新发展与技术变革。跨学科选修课数量不足，选择有限，难以满足复合型人才培养需求。, status=0, createdTime=2025-12-23 23:39:53, updatedTime=null, type=1), ApplicationForm(id=39, title=意见反馈, content=设立创业基金、提供创业孵化空间和法律咨询，举办高质量的创业大赛。, status=0, createdTime=2025-12-25 09:46:02, updatedTime=null, type=1), ApplicationForm(id=41, title=意见反馈, content=开展季节性主题活动：如“校园观鸟导览”、“春季赏花地图”、“秋季落叶艺术创作”，让绿化成为校园文化的一部分。, status=0, createdTime=2025-12-25 10:56:22, updatedTime=null, type=1)]
2025-12-26 10:16:56.085 [http-nio-8081-exec-6] INFO  c.w.s.service.Impl.UserServiceImpl - 申请表,[ApplicationForm(id=17, title=宿舍调换, content=宿舍老是有人打游戏吵别人睡觉，很吵很吵，要的抑郁症了, status=2, createdTime=2025-12-25 10:44:11, updatedTime=2025-12-25 10:44:11, type=2), ApplicationForm(id=18, title=宿舍调换, content=协商不了，真的好吵, status=1, createdTime=2025-12-25 10:47:53, updatedTime=2025-12-25 10:47:53, type=2), ApplicationForm(id=19, title=宿舍调换, content=这个宿舍也吵得要命, status=0, createdTime=2025-12-25 10:48:38, updatedTime=2025-12-25 10:48:38, type=2)]
2025-12-26 10:17:05.456 [http-nio-8081-exec-1] INFO  c.w.s.controller.user.UserController - 生成的验证码为:RGNJ
2025-12-26 10:17:54.744 [http-nio-8081-exec-4] INFO  c.w.s.service.Impl.UserServiceImpl - 用户登录信息：User(userId=15, username=cocococo, password=123456, nickname=test, avatarUrl=null, permission=0, registeredTime=2025-12-26T10:17:44, updatedTime=2025-12-26T10:17:44, studentNumber=202212060111)
2025-12-26 10:17:54.745 [http-nio-8081-exec-4] INFO  c.w.s.service.Impl.UserServiceImpl - claims:{id=15}
2025-12-26 10:17:54.826 [http-nio-8081-exec-8] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
2025-12-26 10:17:54.826 [http-nio-8081-exec-5] INFO  c.w.s.interceptor.JwtTokenUserInterceptor - 用户已登录，token:Bearer eyJhbGciOiJIUzI1NiJ9.eyJpZCI6MTUsImV4cCI6MTgzODcxNTQ3NH0.fdBEbeHgp3eqW7dRIgkgFNWIWaonVgU5KOld3MJyJmM
